Country,GDP,Life expectancy,Unemployment rate
Guinea,"$13,590,281,809 ",61.2,4.30%
Guinea-Bissau,"$1,340,389,411 ",58.0,2.47%
Guyana,"$4,280,443,645 ",69.8,11.85%
Haiti,"$8,498,981,821 ",63.7,13.78%
Vatican City,,,
Honduras,"$25,095,395,475 ",75.1,5.39%
Hungary,"$160,967,157,504 ",75.8,3.40%
Iceland,"$24,188,035,739 ",82.7,2.84%
India,"$2,611,000,000,000 ",69.4,5.36%
Indonesia,"$1,119,190,780,753 ",71.5,4.69%
Iran,"$445,345,282,123 ",76.5,11.38%
Iraq,"$234,094,042,939 ",70.5,12.82%
Republic of Ireland,"$388,698,711,348 ",82.3,4.93%
Israel,"$395,098,666,122 ",82.8,3.86%
Italy,"$2,001,244,392,042 ",82.9,9.89%
Jamaica,"$16,458,071,068 ",74.4,8.00%
Japan,"$5,081,769,542,380 ",84.2,2.29%
Jordan,"$43,743,661,972 ",74.4,14.72%
Kazakhstan,"$180,161,741,180 ",73.2,4.59%
Kenya,"$95,503,088,538 ",66.3,2.64%
Kiribati,"$194,647,202 ",68.1,
Kuwait,"$134,761,198,946 ",75.4,2.18%
Kyrgyzstan,"$8,454,619,608 ",71.4,6.33%
Laos,"$18,173,839,128 ",67.6,0.63%
Latvia,"$34,117,202,555 ",74.7,6.52%
Lebanon,"$53,367,042,272 ",78.9,6.23%
Lesotho,"$2,460,072,444 ",53.7,23.41%
Liberia,"$3,070,518,100 ",63.7,2.81%
Libya,"$52,076,250,948 ",72.7,18.56%
Liechtenstein,"$6,552,858,739 ",83.0,
Lithuania,"$54,219,315,600 ",75.7,6.35%
Luxembourg,"$71,104,919,108 ",82.1,5.36%
Madagascar,"$14,083,906,357 ",66.7,1.76%
Malawi,"$7,666,704,427 ",63.8,5.65%
Malaysia,"$364,701,517,788 ",76.0,3.32%
Maldives,"$5,729,248,472 ",78.6,6.14%
Mali,"$17,510,141,171 ",58.9,7.22%
Malta,"$14,786,156,563 ",82.3,3.47%
Marshall Islands,"$221,278,000 ",65.2,
Mauritania,"$7,593,752,450 ",64.7,9.55%
Mauritius,"$14,180,444,557 ",74.4,6.67%
Mexico,"$1,258,286,717,125 ",75.0,3.42%
Federated States of Micronesia,"$401,932,279 ",67.8,
Moldova,"$11,955,435,457 ",71.8,5.47%
Monaco,"$7,184,844,193 ",,
Mongolia,"$13,852,850,259 ",69.7,6.01%
Montenegro,"$5,494,736,901 ",76.8,14.88%
Morocco,"$118,725,279,596 ",76.5,9.02%
Mozambique,"$14,934,159,926 ",60.2,3.24%
Myanmar,"$76,085,852,617 ",66.9,1.58%
Namibia,"$12,366,527,719 ",63.4,20.27%
Nauru,"$133,000,000 ",,
Nepal,"$30,641,380,604 ",70.5,1.41%
Netherlands,"$909,070,395,161 ",81.8,3.20%
New Zealand,"$206,928,765,544 ",81.9,4.07%
Nicaragua,"$12,520,915,291 ",74.3,6.84%
Niger,"$12,928,145,120 ",62.0,0.47%
Nigeria,"$448,120,428,859 ",54.3,8.10%
North Korea,"$32,100,000,000 ",72.1,2.74%
North Macedonia,"$10,220,781,069 ",,
Norway,"$403,336,363,636 ",82.8,3.35%
Oman,"$76,983,094,928 ",77.6,2.67%
Pakistan,"$304,400,000,000 ",67.1,4.45%
Palau,"$283,994,900 ",69.1,
Palestinian National Authority,,,
Panama,"$66,800,800,000 ",78.3,3.90%
Papua New Guinea,"$24,969,611,435 ",64.3,2.46%
Paraguay,"$38,145,288,940 ",74.1,4.81%
Peru,"$226,848,050,820 ",76.5,3.31%
Philippines,"$376,795,508,680 ",71.1,2.15%
Poland,"$592,164,400,688 ",77.6,3.47%
Portugal,"$237,686,075,635 ",81.3,6.33%
Qatar,"$183,466,208,791 ",80.1,0.09%
Romania,"$250,077,444,017 ",75.4,3.98%
Russia,"$1,699,876,578,871 ",72.7,4.59%
Rwanda,"$10,122,472,590 ",68.7,1.03%
Saint Kitts and Nevis,"$1,050,992,593 ",71.3,
Saint Lucia,"$2,122,450,630 ",76.1,20.71%
Saint Vincent and the Grenadines,"$825,385,185 ",72.4,18.88%
Samoa,"$850,655,017 ",73.2,8.36%
San Marino,"$1,637,931,034 ",85.4,
S�����������,"$429,016,605 ",70.2,13.37%
Saudi Arabia,"$792,966,838,162 ",75.0,5.93%
Senegal,"$23,578,084,052 ",67.7,6.60%
Serbia,"$51,409,167,351 ",75.5,12.69%
Seychelles,"$1,698,843,063 ",72.8,
Sierra Leone,"$3,941,474,311 ",54.3,4.43%
Singapore,"$372,062,527,489 ",83.1,4.11%
Slovakia,"$105,422,304,976 ",77.2,5.56%
Slovenia,"$53,742,159,517 ",81.0,4.20%
Solomon Islands,"$1,425,074,226 ",72.8,0.58%
Somalia,"$4,720,727,278 ",57.1,11.35%
South Africa,"$351,431,649,241 ",63.9,28.18%
South Korea,"$2,029,000,000,000 ",82.6,4.15%
South Sudan,"$11,997,800,751 ",57.6,12.24%
Spain,"$1,394,116,310,769 ",83.3,13.96%
Sri Lanka,"$84,008,783,756 ",76.8,4.20%
Sudan,"$18,902,284,476 ",65.1,16.53%
Suriname,"$3,985,250,737 ",71.6,7.33%
Sweden,"$530,832,908,738 ",82.5,6.48%
Switzerland,"$703,082,435,360 ",83.6,4.58%
Syria,"$40,405,006,007 ",71.8,8.37%
Tajikistan,"$8,116,626,794 ",70.9,11.02%
Tanzania,"$63,177,068,175 ",65.0,1.98%
Thailand,"$543,649,976,166 ",76.9,0.75%
East Timor,"$1,673,540,300 ",69.3,4.55%
Togo,"$5,459,979,417 ",60.8,2.04%
Tonga,"$450,353,314 ",70.8,1.12%
Trinidad and Tobago,"$24,100,202,834 ",73.4,2.69%
Tunisia,"$38,797,709,924 ",76.5,16.02%
Turkey,"$754,411,708,203 ",77.4,13.49%
Turkmenistan,"$40,761,142,857 ",68.1,3.91%
Tuvalu,"$47,271,463 ",,
Uganda,"$34,387,229,486 ",63.0,1.84%
Ukraine,"$153,781,069,118 ",71.6,8.88%
United Arab Emirates,"$421,142,267,938 ",77.8,2.35%
United Kingdom,"$2,827,113,184,696 ",81.3,3.85%
United States,"$21,427,700,000,000 ",78.5,14.70%
Uruguay,"$56,045,912,952 ",77.8,8.73%
Uzbekistan,"$57,921,286,440 ",71.6,5.92%
Vanuatu,"$917,058,851 ",70.3,4.39%
Venezuela,"$482,359,318,768 ",72.1,8.80%
Vietnam,"$261,921,244,843 ",75.3,2.01%
Yemen,"$26,914,402,224 ",66.1,12.91%
Zambia,"$23,064,722,446 ",63.5,11.43%
Zimbabwe,"$21,440,758,800 ",61.2,4.95%
